# lk ukf_m9iii uks_m9iii
# iRMS=0
# 
3000.87 0.001524 0.000000
3005.88 0.002279 0.000000
3010.88 0.002859 0.000000
3015.88 0.001984 0.000000
3020.88 0.000191 0.000000
3025.88 0.002053 0.000000
3030.88 0.006515 0.000000
3035.88 0.006327 0.000000
3040.88 0.003740 0.000000
3045.89 0.002419 0.000000
3050.89 0.002714 0.000000
3055.89 0.004213 0.000000
3060.89 0.006202 0.000000
3065.89 0.007895 0.000000
3070.89 0.009782 0.000000
3075.89 0.013095 0.000000
3080.89 0.016120 0.000000
3085.90 0.016086 0.000000
3090.90 0.011159 0.000000
3095.90 0.009894 0.000000
3100.90 0.021769 0.000000
3105.90 0.032342 0.000000
3110.90 0.037712 0.000000
3115.90 0.059492 0.000000
3120.90 0.078051 0.000000
3125.91 0.066781 0.000000
3130.91 0.054201 0.000000
3135.91 0.051723 0.000000
3140.91 0.048412 0.000000
3145.91 0.060021 0.000000
3150.91 0.079872 0.000000
3155.91 0.056498 0.000000
3160.91 0.029852 0.000000
3165.92 0.061748 0.000000
3170.92 0.110694 0.000000
3175.92 0.127791 0.000000
3180.92 0.089722 0.000000
3185.92 0.047074 0.000000
3190.92 0.037361 0.000000
3195.92 0.037484 0.000000
3200.92 0.056046 0.000000
3205.93 0.106271 0.000000
3210.93 0.119950 0.000000
3215.93 0.069168 0.000000
3220.93 0.030042 0.000000
3225.93 0.038601 0.000000
3230.93 0.079865 0.000000
3235.93 0.080846 0.000000
3240.94 0.076888 0.000000
3245.94 0.175485 0.000000
3250.94 0.232787 0.000000
3255.94 0.170574 0.000000
3260.94 0.150485 0.000000
3265.94 0.165073 0.000000
3270.94 0.146324 0.000000
3275.94 0.179823 0.000000
3280.95 0.257809 0.000000
3285.95 0.276848 0.000000
3290.95 0.275358 0.000000
3295.95 0.292329 0.000000
3300.95 0.284866 0.000000
3305.95 0.231767 0.000000
3310.95 0.148896 0.000000
3315.95 0.102417 0.000000
3320.96 0.141622 0.000000
3325.96 0.249273 0.000000
3330.96 0.303325 0.000000
3335.96 0.210022 0.000000
3340.96 0.127736 0.000000
3345.96 0.139419 0.000000
3350.96 0.197351 0.000000
3355.96 0.208693 0.000000
3360.97 0.134792 0.000000
3365.97 0.051948 0.000000
3370.97 0.046881 0.000000
3375.97 0.153202 0.000000
3380.97 0.250943 0.000000
3385.97 0.260994 0.000000
3390.97 0.193597 0.000000
3395.97 0.166289 0.000000
3400.98 0.226462 0.000000
3405.98 0.250047 0.000000
3410.98 0.210359 0.000000
3415.98 0.178284 0.000000
3420.98 0.274714 0.000000
3425.98 0.459330 0.000000
3430.98 0.426345 0.000000
3435.98 0.215718 0.000000
3440.99 0.059906 0.000000
3445.99 0.099699 0.000000
3450.99 0.249776 0.000000
3455.99 0.279574 0.000000
3460.99 0.299065 0.000000
3465.99 0.356097 0.000000
3470.99 0.235152 0.000000
3475.99 0.131234 0.000000
3481.00 0.290934 0.000000
3486.00 0.361982 0.000000
3491.00 0.254766 0.000000
3496.00 0.216342 0.000000
3501.00 0.291199 0.000000
3506.00 0.396875 0.000000
3511.00 0.371469 0.000000
3516.01 0.213243 0.000000
3521.01 0.068749 0.000000
3526.01 0.183126 0.000000
3531.01 0.570950 0.000000
3536.01 0.846860 0.000000
3541.01 0.904506 0.000000
3546.01 0.827332 0.000000
3551.01 0.776238 0.000000
3556.02 0.745910 0.000000
3561.02 0.644449 0.000000
3566.02 0.433032 0.000000
3571.02 0.182159 0.000000
3576.02 0.039528 0.000000
3581.02 0.032809 0.000000
3586.02 0.096477 0.000000
3591.02 0.088554 0.000000
3596.03 0.040350 0.000000
3601.03 0.090532 0.000000
3606.03 0.156229 0.000000
3611.03 0.191170 0.000000
3616.03 0.319817 0.000000
3621.03 0.468507 0.000000
3626.03 0.484280 0.000000
3631.03 0.364127 0.000000
3636.04 0.299928 0.000000
3641.04 0.527551 0.000000
3646.04 0.625190 0.000000
3651.04 0.478257 0.000000
3656.04 0.764852 0.000000
3661.04 1.103150 0.000000
3666.04 0.891817 0.000000
3671.05 0.838792 0.000000
3676.05 0.941316 0.000000
3681.05 0.504131 0.000000
3686.05 0.239903 0.000000
3691.05 0.688788 0.000000
3696.05 1.275308 0.000000
3701.05 1.401211 0.000000
3706.05 0.780715 0.000000
3711.06 0.248411 0.000000
3716.06 0.290204 0.000000
3721.06 0.336545 0.000000
3726.06 0.235849 0.000000
3731.06 0.133660 0.000000
3736.06 0.135027 0.000000
3741.06 0.180899 0.000000
3746.06 0.121631 0.000000
3751.07 0.157462 0.000000
3756.07 0.363895 0.000000
3761.07 0.443805 0.000000
3766.07 0.514252 0.000000
