# lk ukf_o5v uks_o5v fh fse fl
# lRMS=0.0004083506647 iRMS=0.0004083506938 0
# 
3000.87 7.216478 1.020066 7.216478 0.000000 0.000000
3005.88 7.201781 0.875095 7.201781 0.000000 0.000000
3010.88 7.376844 1.006738 7.376844 0.000000 0.000000
3015.88 7.414644 1.028219 7.414644 0.000000 0.000000
3020.88 7.274108 0.990214 7.274108 0.000000 0.000000
3025.88 7.047410 0.796423 7.047410 0.000000 0.000000
3030.88 7.111680 0.750333 7.111680 0.000000 0.000000
3035.88 7.205910 0.690327 7.205910 0.000000 0.000000
3040.88 7.335783 0.821312 7.335783 0.000000 0.000000
3045.89 7.237627 0.765641 7.237627 0.000000 0.000000
3050.89 7.180950 0.690108 7.180950 0.000000 0.000000
3055.89 7.271171 0.735286 7.271171 0.000000 0.000000
3060.89 7.012531 0.542726 7.012531 0.000000 0.000000
3065.89 6.912734 0.412530 6.912734 0.000000 0.000000
3070.89 7.079757 0.398164 7.079757 0.000000 0.000000
3075.89 7.049777 0.278084 7.049777 0.000000 0.000000
3080.89 7.367270 0.405594 7.367270 0.000000 0.000000
3085.90 7.669431 0.646472 7.669431 0.000000 0.000000
3090.90 7.642879 0.696330 7.642879 0.000000 0.000000
3095.90 7.518178 0.475324 7.518178 0.000000 0.000000
3100.90 7.707456 0.338800 7.707456 0.000000 0.000000
3105.90 7.807666 0.418296 7.807666 0.000000 0.000000
3110.90 7.708428 0.163947 7.708428 0.000000 0.000000
3115.90 7.709791 0.666416 7.709791 0.000000 0.000000
3120.90 7.734833 0.513608 7.734833 0.000000 0.000000
3125.91 7.950598 0.399707 7.950598 0.000000 0.000000
3130.91 7.960353 0.580373 7.960353 0.000000 0.000000
3135.91 7.871122 0.711457 7.871122 0.000000 0.000000
3140.91 7.914507 0.942511 7.914507 0.000000 0.000000
3145.91 8.231490 0.826147 8.231490 0.000000 0.000000
3150.91 8.361894 0.923019 8.361894 0.000000 0.000000
3155.91 8.316783 0.937988 8.316783 0.000000 0.000000
3160.91 8.103815 0.033117 8.103815 0.000000 0.000000
3165.92 8.254359 0.144155 8.254359 0.000000 0.000000
3170.92 8.392982 0.243241 8.392982 0.000000 0.000000
3175.92 8.489452 0.217535 8.489452 0.000000 0.000000
3180.92 8.378233 0.216678 8.378233 0.000000 0.000000
3185.92 8.139612 0.148200 8.139612 0.000000 0.000000
3190.92 8.220535 0.405197 8.220535 0.000000 0.000000
3195.92 7.948538 0.546360 7.948538 0.000000 0.000000
3200.92 7.355319 0.000000 7.355319 0.000000 0.000000
