# lk ukf_rf8v uks_rf8v fh fse
# iRMS=8.888132288e-05 0
# 
3000.87 0.272893 0.000000 0.272893 0.000000
3005.88 0.288013 0.000000 0.288013 0.000000
3010.88 0.308588 0.000000 0.308588 0.000000
3015.88 0.298944 0.000000 0.298944 0.000000
3020.88 0.313979 0.000000 0.313979 0.000000
3025.88 0.349584 0.000000 0.349584 0.000000
3030.88 0.356054 0.000000 0.356054 0.000000
3035.88 0.343547 0.000000 0.343547 0.000000
3040.88 0.340810 0.000000 0.340810 0.000000
3045.89 0.359744 0.000000 0.359744 0.000000
3050.89 0.364071 0.000000 0.364071 0.000000
3055.89 0.332432 0.000000 0.332432 0.000000
3060.89 0.317458 0.000000 0.317458 0.000000
3065.89 0.331549 0.000000 0.331549 0.000000
3070.89 0.351149 0.000000 0.351149 0.000000
3075.89 0.352391 0.000000 0.352391 0.000000
3080.89 0.366639 0.000000 0.366639 0.000000
3085.90 0.355709 0.000000 0.355709 0.000000
3090.90 0.322732 0.000000 0.322732 0.000000
3095.90 0.308483 0.000000 0.308483 0.000000
3100.90 0.337857 0.000000 0.337857 0.000000
3105.90 0.385627 0.000000 0.385627 0.000000
3110.90 0.408954 0.000000 0.408954 0.000000
3115.90 0.378945 0.000000 0.378945 0.000000
3120.90 0.372253 0.000000 0.372253 0.000000
3125.91 0.384554 0.000000 0.384554 0.000000
3130.91 0.392764 0.000000 0.392764 0.000000
3135.91 0.410891 0.000000 0.410891 0.000000
3140.91 0.396878 0.000000 0.396878 0.000000
3145.91 0.386854 0.000000 0.386854 0.000000
3150.91 0.403182 0.000000 0.403182 0.000000
3155.91 0.363174 0.000000 0.363174 0.000000
3160.91 0.405341 0.072453 0.405341 0.000000
3165.92 0.428710 0.057275 0.428710 0.000000
3170.92 0.456647 0.036745 0.456647 0.000000
3175.92 0.461336 0.041969 0.461336 0.000000
3180.92 0.451685 0.057910 0.451685 0.000000
3185.92 0.455423 0.049402 0.455423 0.000000
3190.92 0.458195 0.040030 0.458195 0.000000
3195.92 0.459815 0.037590 0.459815 0.000000
3200.92 0.496453 0.000000 0.496453 0.000000
3205.93 0.501898 0.000000 0.501898 0.000000
3210.93 0.500565 0.000000 0.500565 0.000000
3215.93 0.485423 0.000000 0.485423 0.000000
3220.93 0.458820 0.000000 0.458820 0.000000
3225.93 0.428682 0.000000 0.428682 0.000000
3230.93 0.415875 0.000000 0.415875 0.000000
3235.93 0.435511 0.000000 0.435511 0.000000
3240.94 0.466743 0.000000 0.466743 0.000000
3245.94 0.487753 0.000000 0.487753 0.000000
3250.94 0.508829 0.000000 0.508829 0.000000
3255.94 0.542029 0.000000 0.542029 0.000000
3260.94 0.574407 0.000000 0.574407 0.000000
3265.94 0.587828 0.000000 0.587828 0.000000
3270.94 0.568401 0.000000 0.568401 0.000000
3275.94 0.516727 0.000000 0.516727 0.000000
3280.95 0.487151 0.000000 0.487151 0.000000
3285.95 0.525392 0.000000 0.525392 0.000000
3290.95 0.588929 0.000000 0.588929 0.000000
3295.95 0.625106 0.000000 0.625106 0.000000
3300.95 0.628968 0.000000 0.628968 0.000000
3305.95 0.610277 0.000000 0.610277 0.000000
3310.95 0.589960 0.000000 0.589960 0.000000
3315.95 0.584683 0.000000 0.584683 0.000000
3320.96 0.582911 0.000000 0.582911 0.000000
3325.96 0.571735 0.000000 0.571735 0.000000
3330.96 0.560949 0.000000 0.560949 0.000000
3335.96 0.562115 0.000000 0.562115 0.000000
3340.96 0.571162 0.000000 0.571162 0.000000
3345.96 0.580044 0.000000 0.580044 0.000000
3350.96 0.580451 0.000000 0.580451 0.000000
3355.96 0.566832 0.000000 0.566832 0.000000
3360.97 0.544931 0.000000 0.544931 0.000000
3365.97 0.524170 0.000000 0.524170 0.000000
3370.97 0.517399 0.000000 0.517399 0.000000
3375.97 0.532568 0.000000 0.532568 0.000000
3380.97 0.554606 0.000000 0.554606 0.000000
3385.97 0.567641 0.000000 0.567641 0.000000
3390.97 0.575614 0.000000 0.575614 0.000000
3395.97 0.584540 0.000000 0.584540 0.000000
3400.98 0.588919 0.000000 0.588919 0.000000
3405.98 0.583082 0.000000 0.583082 0.000000
3410.98 0.572199 0.000000 0.572199 0.000000
3415.98 0.563010 0.000000 0.563010 0.000000
3420.98 0.557694 0.000000 0.557694 0.000000
3425.98 0.553876 0.000000 0.553876 0.000000
3430.98 0.535528 0.000000 0.535528 0.000000
3435.98 0.494145 0.000000 0.494145 0.000000
3440.99 0.464957 0.000000 0.464957 0.000000
3445.99 0.479949 0.000000 0.479949 0.000000
3450.99 0.514377 0.000000 0.514377 0.000000
3455.99 0.536602 0.000000 0.536602 0.000000
3460.99 0.544130 0.000000 0.544130 0.000000
3465.99 0.542131 0.000000 0.542131 0.000000
3470.99 0.537301 0.000000 0.537301 0.000000
3475.99 0.533989 0.000000 0.533989 0.000000
3481.00 0.525641 0.000000 0.525641 0.000000
3486.00 0.509206 0.000000 0.509206 0.000000
3491.00 0.506552 0.000000 0.506552 0.000000
3496.00 0.536615 0.000000 0.536615 0.000000
3501.00 0.581670 0.000000 0.581670 0.000000
3506.00 0.616603 0.000000 0.616603 0.000000
3511.00 0.610915 0.014423 0.610915 0.000000
3516.01 0.613242 0.020026 0.613242 0.000000
3521.01 0.583490 0.017732 0.583490 0.000000
3526.01 0.572622 0.000345 0.572622 0.000000
3531.01 0.613300 0.017640 0.613300 0.000000
3536.01 0.643049 0.022157 0.643049 0.000000
3541.01 0.671558 0.028100 0.671558 0.000000
3546.01 0.677325 0.012828 0.677325 0.000000
3551.01 0.668551 0.000598 0.668551 0.000000
3556.02 0.651151 0.008659 0.651151 0.000000
3561.02 0.633906 0.028419 0.633906 0.000000
3566.02 0.587853 0.007878 0.587853 0.000000
3571.02 0.538070 0.011627 0.538070 0.000000
3576.02 0.517847 0.017369 0.517847 0.000000
3581.02 0.483481 0.009084 0.483481 0.000000
3586.02 0.481366 0.014428 0.481366 0.000000
3591.02 0.537734 0.005117 0.537734 0.000000
3596.03 0.591681 0.033592 0.591681 0.000000
3601.03 0.599179 0.029514 0.599179 0.000000
3606.03 0.609286 0.061699 0.609286 0.000000
3611.03 0.553559 0.006063 0.553559 0.000000
3616.03 0.543523 0.043336 0.543523 0.000000
3621.03 0.562160 0.018322 0.562160 0.000000
3626.03 0.615510 0.012948 0.615510 0.000000
3631.03 0.635480 0.015578 0.635480 0.000000
3636.04 0.624990 0.042195 0.624990 0.000000
3641.04 0.635966 0.002682 0.635966 0.000000
3646.04 0.610477 0.020785 0.610477 0.000000
3651.04 0.614336 0.028457 0.614336 0.000000
3656.04 0.695690 0.024063 0.695690 0.000000
3661.04 0.753127 0.005129 0.753127 0.000000
3666.04 0.735600 0.015402 0.735600 0.000000
3671.05 0.701893 0.000822 0.701893 0.000000
3676.05 0.698058 0.018606 0.698058 0.000000
3681.05 0.684983 0.006269 0.684983 0.000000
3686.05 0.674553 0.000282 0.674553 0.000000
3691.05 0.695780 0.001943 0.695780 0.000000
3696.05 0.749983 0.006112 0.749983 0.000000
3701.05 0.773079 0.009096 0.773079 0.000000
3706.05 0.693214 0.018932 0.693214 0.000000
3711.06 0.660090 0.029896 0.660090 0.000000
3716.06 0.696286 0.054110 0.696286 0.000000
3721.06 0.675123 0.031572 0.675123 0.000000
3726.06 0.692066 0.033066 0.692066 0.000000
3731.06 0.679594 0.023427 0.679594 0.000000
3736.06 0.609453 0.050026 0.609453 0.000000
3741.06 0.612377 0.023680 0.612377 0.000000
3746.06 0.563319 0.029659 0.563319 0.000000
3751.07 0.556524 0.015869 0.556524 0.000000
3756.07 0.656023 0.023711 0.656023 0.000000
3761.07 0.698395 0.017501 0.698395 0.000000
3766.07 0.692249 0.003697 0.692249 0.000000
3771.07 0.682355 0.023912 0.682355 0.000000
3776.07 0.763748 0.036933 0.763748 0.000000
3781.07 0.854208 0.044694 0.854208 0.000000
3786.08 0.826897 0.017004 0.826897 0.000000
3791.08 0.733384 0.005659 0.733384 0.000000
3796.08 0.665524 0.020790 0.665524 0.000000
3801.08 0.689231 0.074259 0.689231 0.000000
3806.08 0.786542 0.079169 0.786542 0.000000
3811.08 0.824256 0.036615 0.824256 0.000000
3816.08 0.742922 0.022267 0.742922 0.000000
3821.08 0.653871 0.056963 0.653871 0.000000
3826.09 0.583884 0.044290 0.583884 0.000000
3831.09 0.525184 0.021514 0.525184 0.000000
3836.09 0.473075 0.034711 0.473075 0.000000
3841.09 0.522367 0.092326 0.522367 0.000000
3846.09 0.667764 0.109218 0.667764 0.000000
3851.09 0.756584 0.070667 0.756584 0.000000
3856.09 0.728876 0.061538 0.728876 0.000000
3861.09 0.689422 0.086345 0.689422 0.000000
3866.10 0.727790 0.111953 0.727790 0.000000
3871.10 0.726461 0.056326 0.726461 0.000000
3876.10 0.718815 0.039129 0.718815 0.000000
3881.10 0.682562 0.035329 0.682562 0.000000
3886.10 0.625156 0.025194 0.625156 0.000000
3891.10 0.636508 0.048390 0.636508 0.000000
3896.10 0.715591 0.061099 0.715591 0.000000
3901.10 0.767389 0.032820 0.767389 0.000000
3906.11 0.784875 0.033871 0.784875 0.000000
3911.11 0.813627 0.070346 0.813627 0.000000
3916.11 0.812487 0.045899 0.812487 0.000000
3921.11 0.757150 0.000488 0.757150 0.000000
3926.11 0.625901 0.028809 0.625901 0.000000
3931.11 0.444560 0.067824 0.444560 0.000000
3936.11 0.383997 0.009577 0.383997 0.000000
3941.12 0.486786 0.106376 0.486786 0.000000
3946.12 0.637056 0.101248 0.637056 0.000000
3951.12 0.780517 0.041667 0.780517 0.000000
3956.12 0.827399 0.019215 0.827399 0.000000
3961.12 0.719357 0.056299 0.719357 0.000000
3966.12 0.484881 0.036504 0.484881 0.000000
3971.12 0.394745 0.048155 0.394745 0.000000
3976.12 0.596849 0.109811 0.596849 0.000000
3981.13 0.825730 0.072229 0.825730 0.000000
3986.13 0.924718 0.029439 0.924718 0.000000
3991.13 0.958823 0.020992 0.958823 0.000000
3996.13 0.982942 0.018443 0.982942 0.000000
4001.13 0.997337 0.015325 0.997337 0.000000
4006.13 0.998055 0.013546 0.998055 0.000000
4011.13 1.019036 0.026691 1.019036 0.000000
4016.13 1.043127 0.014800 1.043127 0.000000
4021.14 1.065191 0.005652 1.065191 0.000000
4026.14 1.059637 0.002359 1.059637 0.000000
4031.14 1.024951 0.021793 1.024951 0.000000
4036.14 1.038391 0.005708 1.038391 0.000000
4041.14 1.048306 0.009601 1.048306 0.000000
4046.14 0.997373 0.022728 0.997373 0.000000
4051.14 1.006133 0.011780 1.006133 0.000000
4056.15 0.995767 0.001352 0.995767 0.000000
4061.15 0.984275 0.016628 0.984275 0.000000
4066.15 0.978527 0.000846 0.978527 0.000000
4071.15 0.973215 0.018434 0.973215 0.000000
4076.15 0.969372 0.013461 0.969372 0.000000
4081.15 0.997823 0.008541 0.997823 0.000000
4086.15 1.058493 0.013549 1.058493 0.000000
4091.15 1.068337 0.010412 1.068337 0.000000
4096.16 0.969232 0.012708 0.969232 0.000000
4101.16 0.868619 0.034282 0.868619 0.000000
4106.16 0.910845 0.005553 0.910845 0.000000
4111.16 0.996023 0.025259 0.996023 0.000000
4116.16 1.060405 0.015807 1.060405 0.000000
4121.16 1.080954 0.002325 1.080954 0.000000
4126.16 1.065385 0.002458 1.065385 0.000000
4131.17 1.041656 0.005244 1.041656 0.000000
4136.17 1.061634 0.011479 1.061634 0.000000
4141.17 1.083611 0.008735 1.083611 0.000000
4146.17 1.078328 0.006291 1.078328 0.000000
4151.17 1.064097 0.006647 1.064097 0.000000
4156.17 1.049752 0.006514 1.049752 0.000000
4161.17 1.071955 0.012333 1.071955 0.000000
4166.17 1.081439 0.017807 1.081439 0.000000
4171.18 1.050334 0.006985 1.050334 0.000000
4176.18 1.022082 0.005393 1.022082 0.000000
4181.18 1.019336 0.016399 1.019336 0.000000
4186.18 1.026755 0.013839 1.026755 0.000000
4191.18 1.042195 0.019037 1.042195 0.000000
4196.18 1.014770 0.005777 1.014770 0.000000
4201.18 0.993483 0.005993 0.993483 0.000000
4206.18 1.031861 0.007231 1.031861 0.000000
4211.19 1.076855 0.008933 1.076855 0.000000
4216.19 1.086453 0.010998 1.086453 0.000000
4221.19 1.067862 0.014011 1.067862 0.000000
4226.19 0.988882 0.028533 0.988882 0.000000
4231.19 0.989377 0.038116 0.989377 0.000000
4236.19 0.993829 0.036217 0.993829 0.000000
4241.19 1.015132 0.021123 1.015132 0.000000
4246.20 1.021147 0.009392 1.021147 0.000000
4251.20 1.015793 0.009091 1.015793 0.000000
4256.20 1.010109 0.022025 1.010109 0.000000
4261.20 1.000625 0.025378 1.000625 0.000000
4266.20 1.015398 0.037186 1.015398 0.000000
4271.20 0.987684 0.008448 0.987684 0.000000
4276.20 0.999421 0.001055 0.999421 0.000000
4281.20 1.004724 0.015451 1.004724 0.000000
4286.21 0.970816 0.006545 0.970816 0.000000
4291.21 0.937984 0.005893 0.937984 0.000000
4296.21 0.905853 0.005866 0.905853 0.000000
4301.21 0.823117 0.021162 0.823117 0.000000
4306.21 0.762406 0.013971 0.762406 0.000000
4311.21 0.787045 0.045237 0.787045 0.000000
4316.21 0.959299 0.045384 0.959299 0.000000
4321.21 1.063285 0.029685 1.063285 0.000000
4326.22 1.028938 0.055454 1.028938 0.000000
4331.22 1.002726 0.039197 1.002726 0.000000
4336.22 0.931888 0.047133 0.931888 0.000000
4341.22 0.856489 0.020953 0.856489 0.000000
4346.22 0.936631 0.022510 0.936631 0.000000
4351.22 1.002015 0.025945 1.002015 0.000000
4356.22 1.045927 0.025120 1.045927 0.000000
4361.23 1.085217 0.034407 1.085217 0.000000
4366.23 1.110058 0.030918 1.110058 0.000000
4371.23 1.097673 0.000000 1.097673 0.000000
4376.23 1.081319 0.006240 1.081319 0.000000
4381.23 1.041061 0.002072 1.041061 0.000000
4386.23 0.978300 0.003967 0.978300 0.000000
4391.23 0.994025 0.057630 0.994025 0.000000
4396.23 1.032759 0.042279 1.032759 0.000000
4401.24 1.062345 0.002392 1.062345 0.000000
4406.24 1.062596 0.003336 1.062596 0.000000
4411.24 1.075895 0.023643 1.075895 0.000000
4416.24 1.091089 0.009676 1.091089 0.000000
4421.24 1.125487 0.004546 1.125487 0.000000
4426.24 1.130813 0.006278 1.130813 0.000000
4431.24 1.125890 0.004580 1.125890 0.000000
4436.25 1.113779 0.003588 1.113779 0.000000
4441.25 1.124316 0.006742 1.124316 0.000000
4446.25 1.134563 0.010571 1.134563 0.000000
4451.25 1.131441 0.017546 1.131441 0.000000
4456.25 1.074338 0.020720 1.074338 0.000000
4461.25 1.050084 0.006125 1.050084 0.000000
4466.25 1.079755 0.014594 1.079755 0.000000
4471.25 1.127251 0.010141 1.127251 0.000000
4476.26 1.162949 0.019182 1.162949 0.000000
4481.26 1.144902 0.011780 1.144902 0.000000
4486.26 1.152382 0.008353 1.152382 0.000000
4491.26 1.151217 0.009426 1.151217 0.000000
4496.26 1.154063 0.000977 1.154063 0.000000
4501.26 1.184532 0.021624 1.184532 0.000000
4506.26 1.218421 0.015947 1.218421 0.000000
4511.27 1.224648 0.015103 1.224648 0.000000
4516.27 1.208477 0.024499 1.208477 0.000000
4521.27 1.175710 0.009814 1.175710 0.000000
4526.27 1.109883 0.012563 1.109883 0.000000
4531.27 1.071642 0.013108 1.071642 0.000000
4536.27 1.112010 0.011967 1.112010 0.000000
4541.27 1.148088 0.018649 1.148088 0.000000
4546.27 1.125438 0.003927 1.125438 0.000000
4551.28 1.108586 0.014986 1.108586 0.000000
4556.28 1.139292 0.004385 1.139292 0.000000
4561.28 1.167064 0.000000 1.167064 0.000000
4566.28 1.171178 0.008698 1.171178 0.000000
4571.28 1.168463 0.017865 1.168463 0.000000
4576.28 1.168260 0.012436 1.168260 0.000000
4581.28 1.150477 0.013977 1.150477 0.000000
4586.28 1.137261 0.015782 1.137261 0.000000
4591.29 1.131692 0.000977 1.131692 0.000000
4596.29 1.126123 0.010623 1.126123 0.000000
4601.29 1.129482 0.009135 1.129482 0.000000
4606.29 1.156036 0.007405 1.156036 0.000000
4611.29 1.178257 0.001912 1.178257 0.000000
4616.29 1.174077 0.006997 1.174077 0.000000
4621.29 1.173748 0.002072 1.173748 0.000000
4626.30 1.172259 0.009510 1.172259 0.000000
4631.30 1.173953 0.013090 1.173953 0.000000
4636.30 1.157478 0.022273 1.157478 0.000000
4641.30 1.143772 0.014325 1.143772 0.000000
4646.30 1.120042 0.013277 1.120042 0.000000
4651.30 1.117742 0.006801 1.117742 0.000000
4656.30 1.136981 0.007904 1.136981 0.000000
4661.30 1.148677 0.004980 1.148677 0.000000
4666.31 1.105754 0.015467 1.105754 0.000000
4671.31 1.103955 0.017273 1.103955 0.000000
4676.31 1.127300 0.021194 1.127300 0.000000
4681.31 1.141778 0.004385 1.141778 0.000000
4686.31 1.155938 0.001827 1.155938 0.000000
4691.31 1.146941 0.005764 1.146941 0.000000
4696.31 1.147545 0.004817 1.147545 0.000000
4701.32 1.122035 0.007843 1.122035 0.000000
4706.32 1.098866 0.009887 1.098866 0.000000
4711.32 1.101206 0.004580 1.101206 0.000000
4716.32 1.136548 0.003967 1.136548 0.000000
4721.32 1.161927 0.010683 1.161927 0.000000
4726.32 1.153559 0.007253 1.153559 0.000000
4731.32 1.122366 0.012269 1.122366 0.000000
4736.32 1.132632 0.008277 1.132632 0.000000
4741.33 1.149253 0.013954 1.149253 0.000000
4746.33 1.160436 0.003676 1.160436 0.000000
4751.33 1.150972 0.018357 1.150972 0.000000
4756.33 1.138375 0.015482 1.138375 0.000000
4761.33 1.125099 0.000564 1.125099 0.000000
4766.33 1.108825 0.004275 1.108825 0.000000
4771.33 1.119497 0.007121 1.119497 0.000000
4776.34 1.156189 0.000399 1.156189 0.000000
4781.34 1.175664 0.008588 1.175664 0.000000
4786.34 1.145688 0.011063 1.145688 0.000000
4791.34 1.133831 0.010578 1.133831 0.000000
4796.34 1.146772 0.003987 1.146772 0.000000
4801.34 1.152013 0.019649 1.152013 0.000000
4806.34 1.144432 0.013437 1.144432 0.000000
4811.34 1.144223 0.006928 1.144223 0.000000
4816.35 1.165001 0.014314 1.165001 0.000000
4821.35 1.159529 0.012217 1.159529 0.000000
4826.35 1.134658 0.026128 1.134658 0.000000
4831.35 1.117307 0.014496 1.117307 0.000000
4836.35 1.112830 0.000691 1.112830 0.000000
4841.35 1.112031 0.006240 1.112031 0.000000
4846.35 1.122525 0.017682 1.122525 0.000000
4851.36 1.084910 0.024563 1.084910 0.000000
4856.36 0.973563 0.006053 0.973563 0.000000
4861.36 0.852535 0.019026 0.852535 0.000000
4866.36 0.892894 0.006099 0.892894 0.000000
