# lk ukf_rk0iii uks_rk0iii fh fse fl
# iRMS=7.165817078e-05 0
# 
3000.87 0.046612 0.000000 0.046612 0.000000 0.000000
3005.88 0.046815 0.000000 0.046815 0.000000 0.000000
3010.88 0.047729 0.000000 0.047729 0.000000 0.000000
3015.88 0.049261 0.000000 0.049261 0.000000 0.000000
3020.88 0.051316 0.000000 0.051316 0.000000 0.000000
3025.88 0.053802 0.000000 0.053802 0.000000 0.000000
3030.88 0.056625 0.000000 0.056625 0.000000 0.000000
3035.88 0.059692 0.000000 0.059692 0.000000 0.000000
3040.88 0.062910 0.000000 0.062910 0.000000 0.000000
3045.89 0.066184 0.000000 0.066184 0.000000 0.000000
3050.89 0.069421 0.000000 0.069421 0.000000 0.000000
3055.89 0.072544 0.000000 0.072544 0.000000 0.000000
3060.89 0.075534 0.000000 0.075534 0.000000 0.000000
3065.89 0.078386 0.000000 0.078386 0.000000 0.000000
3070.89 0.081098 0.000000 0.081098 0.000000 0.000000
3075.89 0.083666 0.000000 0.083666 0.000000 0.000000
3080.89 0.086086 0.000000 0.086086 0.000000 0.000000
3085.90 0.088354 0.000000 0.088354 0.000000 0.000000
3090.90 0.090468 0.000000 0.090468 0.000000 0.000000
3095.90 0.092422 0.000000 0.092422 0.000000 0.000000
3100.90 0.094215 0.000000 0.094215 0.000000 0.000000
3105.90 0.095848 0.000000 0.095848 0.000000 0.000000
3110.90 0.097352 0.000000 0.097352 0.000000 0.000000
3115.90 0.098763 0.000000 0.098763 0.000000 0.000000
3120.90 0.100117 0.000000 0.100117 0.000000 0.000000
3125.91 0.101451 0.000000 0.101451 0.000000 0.000000
3130.91 0.102801 0.000000 0.102801 0.000000 0.000000
3135.91 0.104204 0.000000 0.104204 0.000000 0.000000
3140.91 0.105696 0.000000 0.105696 0.000000 0.000000
3145.91 0.107312 0.000000 0.107312 0.000000 0.000000
3150.91 0.109091 0.000000 0.109091 0.000000 0.000000
3155.91 0.111049 0.000000 0.111049 0.000000 0.000000
3160.91 0.111821 0.001510 0.111821 0.000000 0.000000
3165.92 0.116477 0.001413 0.116477 0.000000 0.000000
3170.92 0.119508 0.002497 0.119508 0.000000 0.000000
3175.92 0.119808 0.000552 0.119808 0.000000 0.000000
3180.92 0.118430 0.003118 0.118430 0.000000 0.000000
3185.92 0.116935 0.006622 0.116935 0.000000 0.000000
3190.92 0.116763 0.008209 0.116763 0.000000 0.000000
3195.92 0.118560 0.007045 0.118560 0.000000 0.000000
3200.92 0.114899 0.000000 0.114899 0.000000 0.000000
3205.93 0.112015 0.000000 0.112015 0.000000 0.000000
3210.93 0.103977 0.000000 0.103977 0.000000 0.000000
3215.93 0.093203 0.000000 0.093203 0.000000 0.000000
3220.93 0.085984 0.000000 0.085984 0.000000 0.000000
3225.93 0.086912 0.000000 0.086912 0.000000 0.000000
3230.93 0.089902 0.000000 0.089902 0.000000 0.000000
3235.93 0.089065 0.000000 0.089065 0.000000 0.000000
3240.94 0.089942 0.000000 0.089942 0.000000 0.000000
3245.94 0.098984 0.000000 0.098984 0.000000 0.000000
3250.94 0.114842 0.000000 0.114842 0.000000 0.000000
3255.94 0.133121 0.000000 0.133121 0.000000 0.000000
3260.94 0.145055 0.000000 0.145055 0.000000 0.000000
3265.94 0.143975 0.000000 0.143975 0.000000 0.000000
3270.94 0.135967 0.000000 0.135967 0.000000 0.000000
3275.94 0.129669 0.000000 0.129669 0.000000 0.000000
3280.95 0.131160 0.000000 0.131160 0.000000 0.000000
3285.95 0.142968 0.000000 0.142968 0.000000 0.000000
3290.95 0.155968 0.000000 0.155968 0.000000 0.000000
3295.95 0.160840 0.000000 0.160840 0.000000 0.000000
3300.95 0.159133 0.000000 0.159133 0.000000 0.000000
3305.95 0.154726 0.000000 0.154726 0.000000 0.000000
3310.95 0.149968 0.000000 0.149968 0.000000 0.000000
3315.95 0.146509 0.000000 0.146509 0.000000 0.000000
3320.96 0.144747 0.000000 0.144747 0.000000 0.000000
3325.96 0.144751 0.000000 0.144751 0.000000 0.000000
3330.96 0.146529 0.000000 0.146529 0.000000 0.000000
3335.96 0.149809 0.000000 0.149809 0.000000 0.000000
3340.96 0.153274 0.000000 0.153274 0.000000 0.000000
3345.96 0.155158 0.000000 0.155158 0.000000 0.000000
3350.96 0.152930 0.000000 0.152930 0.000000 0.000000
3355.96 0.144978 0.000000 0.144978 0.000000 0.000000
3360.97 0.134109 0.000000 0.134109 0.000000 0.000000
3365.97 0.124706 0.000000 0.124706 0.000000 0.000000
3370.97 0.123034 0.000000 0.123034 0.000000 0.000000
