# lk ukf_rk0v uks_rk0v fh fse fl fd fk fh_1
# lRMS=0.004504811484 iRMS=0.0003877604031 0
3000.87 0.100840 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3005.88 0.102023 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3010.88 0.104204 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3015.88 0.107229 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3020.88 0.110944 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3025.88 0.115198 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3030.88 0.119835 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3035.88 0.124703 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3040.88 0.129649 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3045.89 0.134519 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3050.89 0.139160 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3055.89 0.143450 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3060.89 0.147398 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3065.89 0.151044 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3070.89 0.154426 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3075.89 0.157585 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3080.89 0.160561 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3085.90 0.163394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3090.90 0.166123 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3095.90 0.168788 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3100.90 0.171429 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3105.90 0.174077 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3110.90 0.176729 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3115.90 0.179372 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3120.90 0.181996 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3125.91 0.184587 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3130.91 0.187134 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3135.91 0.189625 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3140.91 0.192047 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3145.91 0.194389 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3150.91 0.196639 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3155.91 0.198787 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3160.91 0.199421 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3165.92 0.207807 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3170.92 0.214898 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3175.92 0.219396 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3180.92 0.219813 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3185.92 0.216000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3190.92 0.213348 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3195.92 0.216648 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3200.92 0.230709 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3205.93 0.226525 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3210.93 0.226106 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3215.93 0.215668 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3220.93 0.200668 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3225.93 0.188289 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3230.93 0.184339 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3235.93 0.191177 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3240.94 0.198724 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3245.94 0.199869 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3250.94 0.211790 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3255.94 0.248233 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3260.94 0.284921 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3265.94 0.296580 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3270.94 0.291979 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3275.94 0.285906 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3280.95 0.283174 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3285.95 0.286760 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3290.95 0.302268 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3295.95 0.329221 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3300.95 0.340178 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3305.95 0.313905 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3310.95 0.280953 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3315.95 0.274107 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3320.96 0.283284 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3325.96 0.290742 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
