# lk ukf_wg8iii uks_wg8iii fh fse fl
# iRMS=3.438999192e-05 0
# 
3000.87 0.070000 0.000000 0.070000 0.000000 0.000000
3005.88 0.070459 0.000000 0.070459 0.000000 0.000000
3010.88 0.071661 0.000000 0.071661 0.000000 0.000000
3015.88 0.073497 0.000000 0.073497 0.000000 0.000000
3020.88 0.075858 0.000000 0.075858 0.000000 0.000000
3025.88 0.078637 0.000000 0.078637 0.000000 0.000000
3030.88 0.081725 0.000000 0.081725 0.000000 0.000000
3035.88 0.085013 0.000000 0.085013 0.000000 0.000000
3040.88 0.088394 0.000000 0.088394 0.000000 0.000000
3045.89 0.091759 0.000000 0.091759 0.000000 0.000000
3050.89 0.095000 0.000000 0.095000 0.000000 0.000000
3055.89 0.098029 0.000000 0.098029 0.000000 0.000000
3060.89 0.100845 0.000000 0.100845 0.000000 0.000000
3065.89 0.103467 0.000000 0.103467 0.000000 0.000000
3070.89 0.105914 0.000000 0.105914 0.000000 0.000000
3075.89 0.108206 0.000000 0.108206 0.000000 0.000000
3080.89 0.110360 0.000000 0.110360 0.000000 0.000000
3085.90 0.112398 0.000000 0.112398 0.000000 0.000000
3090.90 0.114338 0.000000 0.114338 0.000000 0.000000
3095.90 0.116199 0.000000 0.116199 0.000000 0.000000
3100.90 0.118000 0.000000 0.118000 0.000000 0.000000
3105.90 0.119762 0.000000 0.119762 0.000000 0.000000
3110.90 0.121509 0.000000 0.121509 0.000000 0.000000
3115.90 0.123267 0.000000 0.123267 0.000000 0.000000
3120.90 0.125061 0.000000 0.125061 0.000000 0.000000
3125.91 0.126916 0.000000 0.126916 0.000000 0.000000
3130.91 0.128858 0.000000 0.128858 0.000000 0.000000
3135.91 0.130912 0.000000 0.130912 0.000000 0.000000
3140.91 0.133103 0.000000 0.133103 0.000000 0.000000
3145.91 0.135457 0.000000 0.135457 0.000000 0.000000
3150.91 0.138000 0.000000 0.138000 0.000000 0.000000
3155.91 0.140741 0.000000 0.140741 0.000000 0.000000
3160.91 0.163683 0.021968 0.163683 0.000000 0.000000
3165.92 0.164116 0.019192 0.164116 0.000000 0.000000
3170.92 0.163881 0.015669 0.163881 0.000000 0.000000
3175.92 0.162462 0.010907 0.162462 0.000000 0.000000
3180.92 0.160110 0.005255 0.160110 0.000000 0.000000
3185.92 0.157169 0.000836 0.157169 0.000000 0.000000
3190.92 0.153597 0.007341 0.153597 0.000000 0.000000
3195.92 0.149727 0.013820 0.149727 0.000000 0.000000
3200.92 0.131582 0.000000 0.131582 0.000000 0.000000
3205.93 0.132702 0.000000 0.132702 0.000000 0.000000
3210.93 0.130532 0.000000 0.130532 0.000000 0.000000
3215.93 0.116640 0.000000 0.116640 0.000000 0.000000
3220.93 0.100968 0.000000 0.100968 0.000000 0.000000
3225.93 0.094408 0.000000 0.094408 0.000000 0.000000
3230.93 0.093279 0.000000 0.093279 0.000000 0.000000
3235.93 0.093615 0.000000 0.093615 0.000000 0.000000
3240.94 0.104871 0.000000 0.104871 0.000000 0.000000
3245.94 0.133134 0.000000 0.133134 0.000000 0.000000
3250.94 0.157598 0.000000 0.157598 0.000000 0.000000
3255.94 0.159555 0.000000 0.159555 0.000000 0.000000
3260.94 0.155593 0.000000 0.155593 0.000000 0.000000
3265.94 0.163527 0.000000 0.163527 0.000000 0.000000
3270.94 0.170774 0.000000 0.170774 0.000000 0.000000
3275.94 0.164407 0.000000 0.164407 0.000000 0.000000
3280.95 0.160498 0.000000 0.160498 0.000000 0.000000
3285.95 0.174791 0.000000 0.174791 0.000000 0.000000
3290.95 0.192718 0.000000 0.192718 0.000000 0.000000
3295.95 0.197494 0.000000 0.197494 0.000000 0.000000
3300.95 0.193772 0.000000 0.193772 0.000000 0.000000
3305.95 0.189413 0.000000 0.189413 0.000000 0.000000
3310.95 0.183669 0.000000 0.183669 0.000000 0.000000
3315.95 0.174807 0.000000 0.174807 0.000000 0.000000
3320.96 0.165778 0.000000 0.165778 0.000000 0.000000
3325.96 0.160308 0.000000 0.160308 0.000000 0.000000
3330.96 0.160558 0.000000 0.160558 0.000000 0.000000
3335.96 0.166818 0.000000 0.166818 0.000000 0.000000
3340.96 0.173455 0.000000 0.173455 0.000000 0.000000
3345.96 0.174633 0.000000 0.174633 0.000000 0.000000
3350.96 0.169603 0.000000 0.169603 0.000000 0.000000
3355.96 0.159648 0.000000 0.159648 0.000000 0.000000
3360.97 0.149087 0.000000 0.149087 0.000000 0.000000
3365.97 0.142242 0.000000 0.142242 0.000000 0.000000
3370.97 0.140425 0.000000 0.140425 0.000000 0.000000
3375.97 0.144522 0.000000 0.144522 0.000000 0.000000
3380.97 0.156731 0.000000 0.156731 0.000000 0.000000
3385.97 0.176366 0.000000 0.176366 0.000000 0.000000
3390.97 0.189878 0.000000 0.189878 0.000000 0.000000
3395.97 0.186549 0.000000 0.186549 0.000000 0.000000
3400.98 0.179831 0.000000 0.179831 0.000000 0.000000
3405.98 0.183578 0.000000 0.183578 0.000000 0.000000
3410.98 0.189094 0.000000 0.189094 0.000000 0.000000
3415.98 0.186564 0.000000 0.186564 0.000000 0.000000
3420.98 0.184240 0.000000 0.184240 0.000000 0.000000
3425.98 0.190713 0.000000 0.190713 0.000000 0.000000
3430.98 0.197854 0.000000 0.197854 0.000000 0.000000
3435.98 0.196584 0.000000 0.196584 0.000000 0.000000
3440.99 0.190754 0.000000 0.190754 0.000000 0.000000
3445.99 0.187157 0.000000 0.187157 0.000000 0.000000
3450.99 0.191429 0.000000 0.191429 0.000000 0.000000
3455.99 0.205130 0.000000 0.205130 0.000000 0.000000
3460.99 0.214679 0.000000 0.214679 0.000000 0.000000
3465.99 0.208305 0.000000 0.208305 0.000000 0.000000
3470.99 0.196615 0.000000 0.196615 0.000000 0.000000
3475.99 0.191626 0.000000 0.191626 0.000000 0.000000
