# lk ukf_wk2iii uks_wk2iii fh fse fl
# iRMS=4.419448305e-05 0
# 
3000.87 0.039578 0.000000 0.039578 0.000000 0.000000
3005.88 0.039410 0.000000 0.039410 0.000000 0.000000
3010.88 0.039600 0.000000 0.039600 0.000000 0.000000
3015.88 0.040110 0.000000 0.040110 0.000000 0.000000
3020.88 0.040902 0.000000 0.040902 0.000000 0.000000
3025.88 0.041939 0.000000 0.041939 0.000000 0.000000
3030.88 0.043182 0.000000 0.043182 0.000000 0.000000
3035.88 0.044595 0.000000 0.044595 0.000000 0.000000
3040.88 0.046140 0.000000 0.046140 0.000000 0.000000
3045.89 0.047778 0.000000 0.047778 0.000000 0.000000
3050.89 0.049472 0.000000 0.049472 0.000000 0.000000
3055.89 0.051191 0.000000 0.051191 0.000000 0.000000
3060.89 0.052928 0.000000 0.052928 0.000000 0.000000
3065.89 0.054680 0.000000 0.054680 0.000000 0.000000
3070.89 0.056446 0.000000 0.056446 0.000000 0.000000
3075.89 0.058227 0.000000 0.058227 0.000000 0.000000
3080.89 0.060019 0.000000 0.060019 0.000000 0.000000
3085.90 0.061822 0.000000 0.061822 0.000000 0.000000
3090.90 0.063634 0.000000 0.063634 0.000000 0.000000
3095.90 0.065455 0.000000 0.065455 0.000000 0.000000
3100.90 0.067282 0.000000 0.067282 0.000000 0.000000
3105.90 0.069117 0.000000 0.069117 0.000000 0.000000
3110.90 0.070964 0.000000 0.070964 0.000000 0.000000
3115.90 0.072832 0.000000 0.072832 0.000000 0.000000
3120.90 0.074726 0.000000 0.074726 0.000000 0.000000
3125.91 0.076655 0.000000 0.076655 0.000000 0.000000
3130.91 0.078626 0.000000 0.078626 0.000000 0.000000
3135.91 0.080646 0.000000 0.080646 0.000000 0.000000
3140.91 0.082722 0.000000 0.082722 0.000000 0.000000
3145.91 0.084861 0.000000 0.084861 0.000000 0.000000
3150.91 0.087071 0.000000 0.087071 0.000000 0.000000
3155.91 0.089349 0.000000 0.089349 0.000000 0.000000
3160.91 0.111444 0.022852 0.111444 0.000000 0.000000
3165.92 0.120568 0.030755 0.120568 0.000000 0.000000
3170.92 0.122734 0.030712 0.122734 0.000000 0.000000
3175.92 0.114534 0.018845 0.114534 0.000000 0.000000
3180.92 0.106709 0.007620 0.106709 0.000000 0.000000
3185.92 0.108968 0.008304 0.108968 0.000000 0.000000
3190.92 0.112737 0.011057 0.112737 0.000000 0.000000
3195.92 0.108952 0.005472 0.108952 0.000000 0.000000
3200.92 0.104861 0.000000 0.104861 0.000000 0.000000
3205.93 0.110905 0.000000 0.110905 0.000000 0.000000
3210.93 0.116316 0.000000 0.116316 0.000000 0.000000
3215.93 0.105095 0.000000 0.105095 0.000000 0.000000
3220.93 0.089864 0.000000 0.089864 0.000000 0.000000
3225.93 0.085499 0.000000 0.085499 0.000000 0.000000
3230.93 0.087270 0.000000 0.087270 0.000000 0.000000
3235.93 0.088219 0.000000 0.088219 0.000000 0.000000
3240.94 0.092098 0.000000 0.092098 0.000000 0.000000
3245.94 0.102620 0.000000 0.102620 0.000000 0.000000
3250.94 0.112627 0.000000 0.112627 0.000000 0.000000
3255.94 0.115687 0.000000 0.115687 0.000000 0.000000
3260.94 0.119137 0.000000 0.119137 0.000000 0.000000
3265.94 0.129606 0.000000 0.129606 0.000000 0.000000
3270.94 0.137134 0.000000 0.137134 0.000000 0.000000
3275.94 0.132469 0.000000 0.132469 0.000000 0.000000
3280.95 0.125797 0.000000 0.125797 0.000000 0.000000
3285.95 0.128406 0.000000 0.128406 0.000000 0.000000
3290.95 0.136557 0.000000 0.136557 0.000000 0.000000
3295.95 0.143124 0.000000 0.143124 0.000000 0.000000
3300.95 0.142445 0.000000 0.142445 0.000000 0.000000
3305.95 0.132077 0.000000 0.132077 0.000000 0.000000
3310.95 0.120990 0.000000 0.120990 0.000000 0.000000
3315.95 0.117986 0.000000 0.117986 0.000000 0.000000
3320.96 0.119785 0.000000 0.119785 0.000000 0.000000
3325.96 0.121061 0.000000 0.121061 0.000000 0.000000
3330.96 0.120380 0.000000 0.120380 0.000000 0.000000
3335.96 0.118397 0.000000 0.118397 0.000000 0.000000
3340.96 0.120230 0.000000 0.120230 0.000000 0.000000
3345.96 0.128732 0.000000 0.128732 0.000000 0.000000
3350.96 0.133248 0.000000 0.133248 0.000000 0.000000
3355.96 0.123880 0.000000 0.123880 0.000000 0.000000
3360.97 0.107261 0.000000 0.107261 0.000000 0.000000
3365.97 0.093239 0.000000 0.093239 0.000000 0.000000
3370.97 0.087981 0.000000 0.087981 0.000000 0.000000
3375.97 0.094166 0.000000 0.094166 0.000000 0.000000
3380.97 0.104188 0.000000 0.104188 0.000000 0.000000
3385.97 0.110902 0.000000 0.110902 0.000000 0.000000
3390.97 0.119265 0.000000 0.119265 0.000000 0.000000
3395.97 0.133442 0.000000 0.133442 0.000000 0.000000
3400.98 0.142318 0.000000 0.142318 0.000000 0.000000
3405.98 0.136342 0.000000 0.136342 0.000000 0.000000
3410.98 0.127495 0.000000 0.127495 0.000000 0.000000
3415.98 0.128965 0.000000 0.128965 0.000000 0.000000
3420.98 0.137232 0.000000 0.137232 0.000000 0.000000
3425.98 0.144532 0.000000 0.144532 0.000000 0.000000
3430.98 0.142846 0.000000 0.142846 0.000000 0.000000
3435.98 0.128133 0.000000 0.128133 0.000000 0.000000
3440.99 0.112528 0.000000 0.112528 0.000000 0.000000
3445.99 0.108556 0.000000 0.108556 0.000000 0.000000
3450.99 0.114134 0.000000 0.114134 0.000000 0.000000
3455.99 0.123376 0.000000 0.123376 0.000000 0.000000
3460.99 0.129794 0.000000 0.129794 0.000000 0.000000
3465.99 0.129069 0.000000 0.129069 0.000000 0.000000
3470.99 0.126151 0.000000 0.126151 0.000000 0.000000
3475.99 0.126084 0.000000 0.126084 0.000000 0.000000
3481.00 0.125015 0.000000 0.125015 0.000000 0.000000
3486.00 0.119679 0.000000 0.119679 0.000000 0.000000
3491.00 0.118051 0.000000 0.118051 0.000000 0.000000
3496.00 0.127721 0.000000 0.127721 0.000000 0.000000
3501.00 0.143483 0.000000 0.143483 0.000000 0.000000
3506.00 0.156627 0.000000 0.156627 0.000000 0.000000
3511.00 0.157225 0.000000 0.157225 0.000000 0.000000
3516.01 0.140615 0.000000 0.140615 0.000000 0.000000
3521.01 0.124427 0.000000 0.124427 0.000000 0.000000
3526.01 0.125964 0.000000 0.125964 0.000000 0.000000
3531.01 0.138944 0.000000 0.138944 0.000000 0.000000
3536.01 0.152118 0.000000 0.152118 0.000000 0.000000
3541.01 0.157970 0.000000 0.157970 0.000000 0.000000
3546.01 0.152354 0.000000 0.152354 0.000000 0.000000
3551.01 0.140882 0.000000 0.140882 0.000000 0.000000
3556.02 0.130052 0.000000 0.130052 0.000000 0.000000
3561.02 0.120160 0.000000 0.120160 0.000000 0.000000
3566.02 0.110105 0.000000 0.110105 0.000000 0.000000
3571.02 0.099409 0.000000 0.099409 0.000000 0.000000
3576.02 0.088802 0.000000 0.088802 0.000000 0.000000
3581.02 0.083225 0.000000 0.083225 0.000000 0.000000
3586.02 0.087930 0.000000 0.087930 0.000000 0.000000
3591.02 0.105204 0.000000 0.105204 0.000000 0.000000
3596.03 0.132764 0.000000 0.132764 0.000000 0.000000
3601.03 0.153026 0.000000 0.153026 0.000000 0.000000
3606.03 0.151974 0.000000 0.151974 0.000000 0.000000
3611.03 0.145175 0.000000 0.145175 0.000000 0.000000
3616.03 0.150091 0.000000 0.150091 0.000000 0.000000
3621.03 0.162164 0.000000 0.162164 0.000000 0.000000
3626.03 0.172552 0.000000 0.172552 0.000000 0.000000
3631.03 0.177281 0.000000 0.177281 0.000000 0.000000
3636.04 0.175716 0.000000 0.175716 0.000000 0.000000
3641.04 0.175709 0.000000 0.175709 0.000000 0.000000
3646.04 0.184707 0.000000 0.184707 0.000000 0.000000
3651.04 0.200024 0.000000 0.200024 0.000000 0.000000
3656.04 0.216746 0.000000 0.216746 0.000000 0.000000
3661.04 0.231169 0.000000 0.231169 0.000000 0.000000
3666.04 0.239703 0.000000 0.239703 0.000000 0.000000
3671.05 0.238005 0.000000 0.238005 0.000000 0.000000
3676.05 0.224778 0.000000 0.224778 0.000000 0.000000
3681.05 0.211648 0.000000 0.211648 0.000000 0.000000
3686.05 0.209580 0.000000 0.209580 0.000000 0.000000
3691.05 0.213948 0.000000 0.213948 0.000000 0.000000
3696.05 0.217676 0.000000 0.217676 0.000000 0.000000
3701.05 0.219467 0.000000 0.219467 0.000000 0.000000
3706.05 0.218976 0.000000 0.218976 0.000000 0.000000
3711.06 0.213881 0.000000 0.213881 0.000000 0.000000
3716.06 0.201782 0.000000 0.201782 0.000000 0.000000
3721.06 0.181934 0.000000 0.181934 0.000000 0.000000
3726.06 0.155897 0.000000 0.155897 0.000000 0.000000
3731.06 0.132807 0.000000 0.132807 0.000000 0.000000
3736.06 0.121505 0.000000 0.121505 0.000000 0.000000
3741.06 0.122080 0.000000 0.122080 0.000000 0.000000
3746.06 0.131483 0.000000 0.131483 0.000000 0.000000
3751.07 0.142861 0.000000 0.142861 0.000000 0.000000
3756.07 0.150644 0.000000 0.150644 0.000000 0.000000
3761.07 0.158202 0.000000 0.158202 0.000000 0.000000
3766.07 0.170186 0.000000 0.170186 0.000000 0.000000
3771.07 0.187429 0.000000 0.187429 0.000000 0.000000
3776.07 0.207062 0.000000 0.207062 0.000000 0.000000
3781.07 0.215231 0.000000 0.215231 0.000000 0.000000
3786.08 0.201404 0.000000 0.201404 0.000000 0.000000
3791.08 0.179344 0.000000 0.179344 0.000000 0.000000
3796.08 0.165080 0.000000 0.165080 0.000000 0.000000
3801.08 0.159425 0.000000 0.159425 0.000000 0.000000
3806.08 0.158189 0.000000 0.158189 0.000000 0.000000
3811.08 0.152366 0.000000 0.152366 0.000000 0.000000
3816.08 0.135114 0.000000 0.135114 0.000000 0.000000
3821.08 0.157333 0.051150 0.157333 0.000000 0.000000
3826.09 0.133774 0.044309 0.133774 0.000000 0.000000
3831.09 0.150021 0.070817 0.150021 0.000000 0.000000
3836.09 0.167331 0.082748 0.167331 0.000000 0.000000
3841.09 0.185396 0.090530 0.185396 0.000000 0.000000
3846.09 0.181599 0.079497 0.181599 0.000000 0.000000
3851.09 0.182110 0.080012 0.182110 0.000000 0.000000
3856.09 0.204351 0.109316 0.204351 0.000000 0.000000
3861.09 0.218320 0.129107 0.218320 0.000000 0.000000
3866.10 0.193579 0.101060 0.193579 0.000000 0.000000
3871.10 0.161248 0.060651 0.161248 0.000000 0.000000
3876.10 0.179607 0.074273 0.179607 0.000000 0.000000
3881.10 0.202824 0.083586 0.202824 0.000000 0.000000
3886.10 0.215009 0.066987 0.215009 0.000000 0.000000
3891.10 0.252175 0.075938 0.252175 0.000000 0.000000
3896.10 0.302669 0.108037 0.302669 0.000000 0.000000
3901.10 0.307206 0.097425 0.307206 0.000000 0.000000
3906.11 0.296986 0.079817 0.296986 0.000000 0.000000
3911.11 0.307576 0.092795 0.307576 0.000000 0.000000
3916.11 0.299552 0.089956 0.299552 0.000000 0.000000
3921.11 0.264642 0.074499 0.264642 0.000000 0.000000
3926.11 0.214810 0.067533 0.214810 0.000000 0.000000
3931.11 0.152552 0.043755 0.152552 0.000000 0.000000
3936.11 0.125635 0.027111 0.125635 0.000000 0.000000
3941.12 0.151482 0.029871 0.151482 0.000000 0.000000
3946.12 0.208529 0.034508 0.208529 0.000000 0.000000
3951.12 0.254618 0.037225 0.254618 0.000000 0.000000
3956.12 0.262728 0.046984 0.262728 0.000000 0.000000
3961.12 0.242587 0.058777 0.242587 0.000000 0.000000
3966.12 0.211979 0.061608 0.211979 0.000000 0.000000
3971.12 0.181194 0.031054 0.181194 0.000000 0.000000
3976.12 0.218200 0.021753 0.218200 0.000000 0.000000
3981.13 0.299530 0.037382 0.299530 0.000000 0.000000
3986.13 0.368832 0.050507 0.368832 0.000000 0.000000
3991.13 0.422482 0.067404 0.422482 0.000000 0.000000
3996.13 0.433666 0.057386 0.433666 0.000000 0.000000
4001.13 0.430719 0.039895 0.430719 0.000000 0.000000
4006.13 0.439330 0.031416 0.439330 0.000000 0.000000
4011.13 0.463361 0.037173 0.463361 0.000000 0.000000
4016.13 0.486673 0.044042 0.486673 0.000000 0.000000
4021.14 0.491449 0.042007 0.491449 0.000000 0.000000
4026.14 0.490400 0.052890 0.490400 0.000000 0.000000
4031.14 0.487276 0.069485 0.487276 0.000000 0.000000
4036.14 0.482642 0.078891 0.482642 0.000000 0.000000
4041.14 0.476856 0.078593 0.476856 0.000000 0.000000
4046.14 0.472129 0.072218 0.472129 0.000000 0.000000
4051.14 0.472789 0.071235 0.472789 0.000000 0.000000
4056.15 0.482714 0.086272 0.482714 0.000000 0.000000
4061.15 0.480191 0.091731 0.480191 0.000000 0.000000
4066.15 0.472183 0.090989 0.472183 0.000000 0.000000
4071.15 0.463160 0.074705 0.463160 0.000000 0.000000
4076.15 0.468201 0.049974 0.468201 0.000000 0.000000
4081.15 0.497961 0.045395 0.497961 0.000000 0.000000
4086.15 0.510941 0.033011 0.510941 0.000000 0.000000
4091.15 0.531338 0.048807 0.531338 0.000000 0.000000
4096.16 0.536911 0.068144 0.536911 0.000000 0.000000
4101.16 0.515961 0.062480 0.515961 0.000000 0.000000
4106.16 0.495252 0.047953 0.495252 0.000000 0.000000
4111.16 0.496081 0.051556 0.496081 0.000000 0.000000
4116.16 0.507789 0.067145 0.507789 0.000000 0.000000
4121.16 0.513834 0.079688 0.513834 0.000000 0.000000
4126.16 0.505285 0.081166 0.505285 0.000000 0.000000
4131.17 0.491848 0.080075 0.491848 0.000000 0.000000
4136.17 0.483605 0.084848 0.483605 0.000000 0.000000
4141.17 0.481222 0.096048 0.481222 0.000000 0.000000
4146.17 0.488126 0.116306 0.488126 0.000000 0.000000
4151.17 0.486010 0.115672 0.486010 0.000000 0.000000
4156.17 0.492814 0.109773 0.492814 0.000000 0.000000
4161.17 0.500890 0.107085 0.500890 0.000000 0.000000
4166.17 0.498885 0.109986 0.498885 0.000000 0.000000
4171.18 0.496956 0.116024 0.496956 0.000000 0.000000
4176.18 0.477190 0.088484 0.477190 0.000000 0.000000
4181.18 0.478007 0.077977 0.478007 0.000000 0.000000
4186.18 0.491201 0.084861 0.491201 0.000000 0.000000
4191.18 0.498168 0.089570 0.498168 0.000000 0.000000
4196.18 0.498737 0.089561 0.498737 0.000000 0.000000
4201.18 0.501462 0.083253 0.501462 0.000000 0.000000
4206.18 0.509951 0.067409 0.509951 0.000000 0.000000
4211.19 0.516217 0.050733 0.516217 0.000000 0.000000
4216.19 0.524668 0.056207 0.524668 0.000000 0.000000
4221.19 0.525654 0.065090 0.525654 0.000000 0.000000
4226.19 0.515024 0.057990 0.515024 0.000000 0.000000
4231.19 0.518288 0.047263 0.518288 0.000000 0.000000
4236.19 0.541576 0.032569 0.541576 0.000000 0.000000
4241.19 0.561178 0.020340 0.561178 0.000000 0.000000
4246.20 0.563669 0.025961 0.563669 0.000000 0.000000
4251.20 0.556987 0.036555 0.556987 0.000000 0.000000
4256.20 0.552360 0.037452 0.552360 0.000000 0.000000
4261.20 0.554432 0.036920 0.554432 0.000000 0.000000
4266.20 0.558087 0.038522 0.558087 0.000000 0.000000
4271.20 0.548697 0.030566 0.548697 0.000000 0.000000
4276.20 0.541316 0.032639 0.541316 0.000000 0.000000
4281.20 0.538961 0.042773 0.538961 0.000000 0.000000
4286.21 0.526107 0.040363 0.526107 0.000000 0.000000
4291.21 0.493655 0.031012 0.493655 0.000000 0.000000
4296.21 0.450659 0.033335 0.450659 0.000000 0.000000
4301.21 0.423780 0.035726 0.423780 0.000000 0.000000
4306.21 0.430403 0.017704 0.430403 0.000000 0.000000
4311.21 0.475541 0.002433 0.475541 0.000000 0.000000
4316.21 0.544155 0.004554 0.544155 0.000000 0.000000
4321.21 0.594395 0.008368 0.594395 0.000000 0.000000
4326.22 0.609084 0.013532 0.609084 0.000000 0.000000
4331.22 0.610290 0.011975 0.610290 0.000000 0.000000
4336.22 0.626483 0.003649 0.626483 0.000000 0.000000
4341.22 0.642103 0.006671 0.642103 0.000000 0.000000
4346.22 0.646061 0.005638 0.646061 0.000000 0.000000
4351.22 0.656214 0.011472 0.656214 0.000000 0.000000
4356.22 0.661156 0.011081 0.661156 0.000000 0.000000
4361.23 0.670405 0.007825 0.670405 0.000000 0.000000
4366.23 0.679680 0.008805 0.679680 0.000000 0.000000
4371.23 0.669541 0.013021 0.669541 0.000000 0.000000
4376.23 0.635356 0.026372 0.635356 0.000000 0.000000
4381.23 0.606063 0.043310 0.606063 0.000000 0.000000
4386.23 0.601140 0.047095 0.601140 0.000000 0.000000
4391.23 0.612021 0.037795 0.612021 0.000000 0.000000
4396.23 0.625135 0.021158 0.625135 0.000000 0.000000
4401.24 0.637699 0.012071 0.637699 0.000000 0.000000
4406.24 0.648783 0.019537 0.648783 0.000000 0.000000
4411.24 0.658375 0.024940 0.658375 0.000000 0.000000
4416.24 0.667925 0.013126 0.667925 0.000000 0.000000
4421.24 0.676993 0.002607 0.676993 0.000000 0.000000
4426.24 0.679139 0.004426 0.679139 0.000000 0.000000
4431.24 0.681035 0.006850 0.681035 0.000000 0.000000
4436.25 0.691608 0.001036 0.691608 0.000000 0.000000
4441.25 0.704186 0.000822 0.704186 0.000000 0.000000
4446.25 0.708690 0.011569 0.708690 0.000000 0.000000
4451.25 0.703693 0.028110 0.703693 0.000000 0.000000
4456.25 0.692534 0.035844 0.692534 0.000000 0.000000
4461.25 0.694401 0.037656 0.694401 0.000000 0.000000
4466.25 0.714184 0.026938 0.714184 0.000000 0.000000
4471.25 0.736589 0.004257 0.736589 0.000000 0.000000
4476.26 0.774205 0.008048 0.774205 0.000000 0.000000
4481.26 0.787405 0.008448 0.787405 0.000000 0.000000
4486.26 0.775531 0.009397 0.775531 0.000000 0.000000
